Episode: 32, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 54.69, Median Loss: 54.69, Std Loss: 54.69, Mean Reward: -0.57, Median Reward: 0.95, Std Reward: -28.50
Episode: 33, step: 9, Pop: 5/5, Epsilon: 0.88, Mean Loss: 52.14, Median Loss: 52.14, Std Loss: 52.14, Mean Reward: 1.73, Median Reward: 1.95, Std Reward: 86.50
Episode: 34, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 54.99, Median Loss: 54.99, Std Loss: 54.99, Mean Reward: -1.76, Median Reward: 0.95, Std Reward: -87.80
Episode: 35, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 55.36, Median Loss: 55.36, Std Loss: 55.36, Mean Reward: -0.19, Median Reward: 0.95, Std Reward: -9.50
Episode: 36, step: 9, Pop: 9/5, Epsilon: 0.87, Mean Loss: 44.41, Median Loss: 44.41, Std Loss: 44.41, Mean Reward: -2.60, Median Reward: 0.45, Std Reward: -130.00
Episode: 37, step: 9, Pop: 9/5, Epsilon: 0.87, Mean Loss: 58.47, Median Loss: 58.47, Std Loss: 58.47, Mean Reward: -2.23, Median Reward: 0.20, Std Reward: -111.50
Episode: 38, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 44.27, Median Loss: 44.27, Std Loss: 44.27, Mean Reward: -0.15, Median Reward: 0.95, Std Reward: -7.50
Episode: 39, step: 9, Pop: 8/5, Epsilon: 0.86, Mean Loss: 43.25, Median Loss: 43.25, Std Loss: 43.25, Mean Reward: -2.64, Median Reward: 0.25, Std Reward: -131.80
Episode: 40, step: 9, Pop: 5/5, Epsilon: 0.86, Mean Loss: 44.64, Median Loss: 44.64, Std Loss: 44.64, Mean Reward: 1.01, Median Reward: 0.95, Std Reward: 50.40
Episode: 41, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 41.95, Median Loss: 41.95, Std Loss: 41.95, Mean Reward: -0.80, Median Reward: 0.95, Std Reward: -40.00
Episode: 42, step: 9, Pop: 7/5, Epsilon: 0.85, Mean Loss: 44.48, Median Loss: 44.48, Std Loss: 44.48, Mean Reward: -0.19, Median Reward: 0.95, Std Reward: -9.50
Episode: 43, step: 9, Pop: 7/5, Epsilon: 0.85, Mean Loss: 63.37, Median Loss: 63.37, Std Loss: 63.37, Mean Reward: -1.66, Median Reward: 0.95, Std Reward: -82.90
Episode: 44, step: 9, Pop: 7/5, Epsilon: 0.85, Mean Loss: 52.24, Median Loss: 52.24, Std Loss: 52.24, Mean Reward: -1.60, Median Reward: 0.95, Std Reward: -80.00
Episode: 45, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 63.48, Median Loss: 63.48, Std Loss: 63.48, Mean Reward: -0.13, Median Reward: 0.95, Std Reward: -6.50
Episode: 46, step: 9, Pop: 7/5, Epsilon: 0.84, Mean Loss: 57.67, Median Loss: 57.67, Std Loss: 57.67, Mean Reward: -0.83, Median Reward: 0.95, Std Reward: -41.50
Episode: 47, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 50.15, Median Loss: 50.15, Std Loss: 50.15, Mean Reward: -3.12, Median Reward: 0.00, Std Reward: -156.20
Episode: 48, step: 9, Pop: 7/5, Epsilon: 0.83, Mean Loss: 41.50, Median Loss: 41.50, Std Loss: 41.50, Mean Reward: -2.37, Median Reward: 0.45, Std Reward: -118.50
Episode: 49, step: 9, Pop: 7/5, Epsilon: 0.83, Mean Loss: 32.47, Median Loss: 32.47, Std Loss: 32.47, Mean Reward: -0.06, Median Reward: 0.95, Std Reward: -2.90
Episode: 50, step: 9, Pop: 5/5, Epsilon: 0.83, Mean Loss: 57.03, Median Loss: 57.03, Std Loss: 57.03, Mean Reward: 0.37, Median Reward: 0.95, Std Reward: 18.40
Episode: 51, step: 9, Pop: 8/5, Epsilon: 0.82, Mean Loss: 32.69, Median Loss: 32.69, Std Loss: 32.69, Mean Reward: -2.03, Median Reward: 0.45, Std Reward: -101.70
Episode: 52, step: 9, Pop: 7/5, Epsilon: 0.82, Mean Loss: 33.33, Median Loss: 33.33, Std Loss: 33.33, Mean Reward: -1.71, Median Reward: 0.20, Std Reward: -85.70
Episode: 53, step: 9, Pop: 7/5, Epsilon: 0.82, Mean Loss: 35.39, Median Loss: 35.39, Std Loss: 35.39, Mean Reward: -1.47, Median Reward: 0.70, Std Reward: -73.50
Episode: 54, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 48.94, Median Loss: 48.94, Std Loss: 48.94, Mean Reward: -2.76, Median Reward: -8.05, Std Reward: -138.00
Episode: 55, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 55.28, Median Loss: 55.28, Std Loss: 55.28, Mean Reward: -0.41, Median Reward: 0.95, Std Reward: -20.50
Episode: 56, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 61.15, Median Loss: 61.15, Std Loss: 61.15, Mean Reward: -0.92, Median Reward: 0.45, Std Reward: -46.20
Episode: 57, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 51.52, Median Loss: 51.52, Std Loss: 51.52, Mean Reward: -1.88, Median Reward: 0.05, Std Reward: -94.20
Episode: 58, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 49.32, Median Loss: 49.32, Std Loss: 49.32, Mean Reward: -0.29, Median Reward: 0.95, Std Reward: -14.50
Episode: 59, step: 9, Pop: 9/5, Epsilon: 0.80, Mean Loss: 36.25, Median Loss: 36.25, Std Loss: 36.25, Mean Reward: -2.38, Median Reward: 0.70, Std Reward: -119.00
Episode: 60, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 34.38, Median Loss: 34.38, Std Loss: 34.38, Mean Reward: -1.64, Median Reward: 0.45, Std Reward: -81.90
Episode: 61, step: 9, Pop: 6/5, Epsilon: 0.79, Mean Loss: 70.88, Median Loss: 70.88, Std Loss: 70.88, Mean Reward: -1.03, Median Reward: 0.35, Std Reward: -51.40
Episode: 62, step: 9, Pop: 3/5, Epsilon: 0.79, Mean Loss: 53.29, Median Loss: 53.29, Std Loss: 53.29, Mean Reward: 1.84, Median Reward: 0.95, Std Reward: 92.00
Episode: 63, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 52.54, Median Loss: 52.54, Std Loss: 52.54, Mean Reward: -1.58, Median Reward: 0.45, Std Reward: -79.20
Episode: 64, step: 9, Pop: 8/5, Epsilon: 0.78, Mean Loss: 66.22, Median Loss: 66.22, Std Loss: 66.22, Mean Reward: -2.90, Median Reward: 0.20, Std Reward: -145.00
Episode: 65, step: 9, Pop: 7/5, Epsilon: 0.78, Mean Loss: 57.33, Median Loss: 57.33, Std Loss: 57.33, Mean Reward: -2.90, Median Reward: -0.05, Std Reward: -145.00
Episode: 66, step: 9, Pop: 8/5, Epsilon: 0.78, Mean Loss: 50.80, Median Loss: 50.80, Std Loss: 50.80, Mean Reward: -1.67, Median Reward: 0.95, Std Reward: -83.50
Episode: 67, step: 9, Pop: 6/5, Epsilon: 0.78, Mean Loss: 36.78, Median Loss: 36.78, Std Loss: 36.78, Mean Reward: 0.45, Median Reward: 0.95, Std Reward: 22.50
Episode: 68, step: 9, Pop: 6/5, Epsilon: 0.77, Mean Loss: 54.49, Median Loss: 54.49, Std Loss: 54.49, Mean Reward: -0.30, Median Reward: 0.95, Std Reward: -15.00
Episode: 69, step: 9, Pop: 6/5, Epsilon: 0.77, Mean Loss: 65.46, Median Loss: 65.46, Std Loss: 65.46, Mean Reward: -0.34, Median Reward: 0.45, Std Reward: -17.00
Episode: 70, step: 9, Pop: 9/5, Epsilon: 0.77, Mean Loss: 40.74, Median Loss: 40.74, Std Loss: 40.74, Mean Reward: -1.92, Median Reward: 0.95, Std Reward: -96.00
Episode: 71, step: 9, Pop: 7/5, Epsilon: 0.76, Mean Loss: 60.22, Median Loss: 60.22, Std Loss: 60.22, Mean Reward: -0.71, Median Reward: 0.70, Std Reward: -35.50
Episode: 72, step: 9, Pop: 8/5, Epsilon: 0.76, Mean Loss: 58.16, Median Loss: 58.16, Std Loss: 58.16, Mean Reward: -0.51, Median Reward: 0.70, Std Reward: -25.70
Episode: 73, step: 9, Pop: 7/5, Epsilon: 0.76, Mean Loss: 40.68, Median Loss: 40.68, Std Loss: 40.68, Mean Reward: -1.97, Median Reward: 0.45, Std Reward: -98.50
