Episode: 32, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 81.12, Median Loss: 81.12, Std Loss: 81.12, Mean Reward: -3.74, Median Reward: -6.00, Std Reward: -318.00
Episode: 33, step: 9, Pop: 10/5, Epsilon: 0.88, Mean Loss: 41.58, Median Loss: 41.58, Std Loss: 41.58, Mean Reward: 0.02, Median Reward: 2.00, Std Reward: 2.40
Episode: 34, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 43.86, Median Loss: 43.86, Std Loss: 43.86, Mean Reward: -0.56, Median Reward: 0.00, Std Reward: -47.80
Episode: 35, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 82.64, Median Loss: 82.64, Std Loss: 82.64, Mean Reward: -1.38, Median Reward: 0.00, Std Reward: -126.70
Episode: 36, step: 9, Pop: 8/5, Epsilon: 0.87, Mean Loss: 52.45, Median Loss: 52.45, Std Loss: 52.45, Mean Reward: -1.67, Median Reward: 0.00, Std Reward: -155.50
Episode: 37, step: 9, Pop: 5/5, Epsilon: 0.87, Mean Loss: 54.39, Median Loss: 54.39, Std Loss: 54.39, Mean Reward: 0.21, Median Reward: 0.00, Std Reward: 16.30
Episode: 38, step: 9, Pop: 5/5, Epsilon: 0.87, Mean Loss: 73.48, Median Loss: 73.48, Std Loss: 73.48, Mean Reward: 0.27, Median Reward: 1.00, Std Reward: 18.00
Episode: 39, step: 9, Pop: 4/5, Epsilon: 0.86, Mean Loss: 44.83, Median Loss: 44.83, Std Loss: 44.83, Mean Reward: -1.19, Median Reward: 0.00, Std Reward: -73.60
Episode: 40, step: 9, Pop: 8/5, Epsilon: 0.86, Mean Loss: 43.12, Median Loss: 43.12, Std Loss: 43.12, Mean Reward: -1.51, Median Reward: 0.00, Std Reward: -134.60
Episode: 41, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 89.49, Median Loss: 89.49, Std Loss: 89.49, Mean Reward: 0.90, Median Reward: 2.00, Std Reward: 75.10
Episode: 42, step: 9, Pop: 5/5, Epsilon: 0.85, Mean Loss: 79.17, Median Loss: 79.17, Std Loss: 79.17, Mean Reward: -0.84, Median Reward: 0.00, Std Reward: -56.80
Episode: 43, step: 9, Pop: 4/5, Epsilon: 0.85, Mean Loss: 33.79, Median Loss: 33.79, Std Loss: 33.79, Mean Reward: -1.61, Median Reward: 0.00, Std Reward: -120.50
Episode: 44, step: 9, Pop: 7/5, Epsilon: 0.85, Mean Loss: 44.94, Median Loss: 44.94, Std Loss: 44.94, Mean Reward: -2.59, Median Reward: 0.00, Std Reward: -210.00
Episode: 45, step: 9, Pop: 6/5, Epsilon: 0.84, Mean Loss: 82.28, Median Loss: 82.28, Std Loss: 82.28, Mean Reward: -0.93, Median Reward: 0.00, Std Reward: -78.00
Episode: 46, step: 9, Pop: 5/5, Epsilon: 0.84, Mean Loss: 51.57, Median Loss: 51.57, Std Loss: 51.57, Mean Reward: -0.60, Median Reward: 0.00, Std Reward: -40.20
Episode: 47, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 59.14, Median Loss: 59.14, Std Loss: 59.14, Mean Reward: -1.84, Median Reward: 0.00, Std Reward: -165.30
Episode: 48, step: 9, Pop: 6/5, Epsilon: 0.83, Mean Loss: 52.74, Median Loss: 52.74, Std Loss: 52.74, Mean Reward: 1.03, Median Reward: 0.00, Std Reward: 88.60
Episode: 49, step: 9, Pop: 6/5, Epsilon: 0.83, Mean Loss: 48.33, Median Loss: 48.33, Std Loss: 48.33, Mean Reward: -0.80, Median Reward: 0.00, Std Reward: -55.70
Episode: 50, step: 9, Pop: 8/5, Epsilon: 0.83, Mean Loss: 69.27, Median Loss: 69.27, Std Loss: 69.27, Mean Reward: -0.90, Median Reward: 0.00, Std Reward: -79.30
Episode: 51, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 50.05, Median Loss: 50.05, Std Loss: 50.05, Mean Reward: 0.24, Median Reward: 2.00, Std Reward: 17.70
Episode: 52, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 47.63, Median Loss: 47.63, Std Loss: 47.63, Mean Reward: -3.58, Median Reward: -6.00, Std Reward: -254.00
Episode: 53, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 54.39, Median Loss: 54.39, Std Loss: 54.39, Mean Reward: 0.28, Median Reward: 2.00, Std Reward: 23.00
Episode: 54, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 52.42, Median Loss: 52.42, Std Loss: 52.42, Mean Reward: -2.41, Median Reward: 0.00, Std Reward: -222.00
Episode: 55, step: 9, Pop: 9/5, Epsilon: 0.81, Mean Loss: 39.88, Median Loss: 39.88, Std Loss: 39.88, Mean Reward: -0.13, Median Reward: 0.00, Std Reward: -11.60
Episode: 56, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 53.44, Median Loss: 53.44, Std Loss: 53.44, Mean Reward: 2.27, Median Reward: 2.00, Std Reward: 188.40
Episode: 57, step: 9, Pop: 6/5, Epsilon: 0.81, Mean Loss: 93.40, Median Loss: 93.40, Std Loss: 93.40, Mean Reward: -0.82, Median Reward: 0.00, Std Reward: -73.00
Episode: 58, step: 9, Pop: 9/5, Epsilon: 0.80, Mean Loss: 66.52, Median Loss: 66.52, Std Loss: 66.52, Mean Reward: -1.53, Median Reward: 0.00, Std Reward: -150.30
Episode: 59, step: 9, Pop: 6/5, Epsilon: 0.80, Mean Loss: 44.39, Median Loss: 44.39, Std Loss: 44.39, Mean Reward: -1.93, Median Reward: 0.00, Std Reward: -183.00
Episode: 60, step: 9, Pop: 6/5, Epsilon: 0.80, Mean Loss: 28.90, Median Loss: 28.90, Std Loss: 28.90, Mean Reward: -0.66, Median Reward: 0.00, Std Reward: -52.80
Episode: 61, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 56.40, Median Loss: 56.40, Std Loss: 56.40, Mean Reward: -1.15, Median Reward: -5.00, Std Reward: -104.70
Episode: 62, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 65.19, Median Loss: 65.19, Std Loss: 65.19, Mean Reward: -2.32, Median Reward: 0.00, Std Reward: -211.00
Episode: 63, step: 9, Pop: 8/5, Epsilon: 0.79, Mean Loss: 48.41, Median Loss: 48.41, Std Loss: 48.41, Mean Reward: 0.86, Median Reward: 0.00, Std Reward: 72.60
Episode: 64, step: 9, Pop: 10/5, Epsilon: 0.78, Mean Loss: 33.29, Median Loss: 33.29, Std Loss: 33.29, Mean Reward: 0.27, Median Reward: 2.00, Std Reward: 27.30
Episode: 65, step: 9, Pop: 5/5, Epsilon: 0.78, Mean Loss: 65.41, Median Loss: 65.41, Std Loss: 65.41, Mean Reward: -0.91, Median Reward: 0.00, Std Reward: -61.70
