Episode: 32, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 61.32, Median Loss: 61.32, Std Loss: 61.32, Mean Reward: 0.67, Median Reward: 0.95, Std Reward: 33.50
Episode: 33, step: 9, Pop: 10/5, Epsilon: 0.88, Mean Loss: 50.36, Median Loss: 50.36, Std Loss: 50.36, Mean Reward: -3.95, Median Reward: -3.90, Std Reward: -197.50
Episode: 34, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 37.40, Median Loss: 37.40, Std Loss: 37.40, Mean Reward: -3.51, Median Reward: -8.05, Std Reward: -175.70
Episode: 35, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 47.26, Median Loss: 47.26, Std Loss: 47.26, Mean Reward: -0.67, Median Reward: 0.95, Std Reward: -33.50
Episode: 36, step: 9, Pop: 8/5, Epsilon: 0.87, Mean Loss: 28.87, Median Loss: 28.87, Std Loss: 28.87, Mean Reward: -1.10, Median Reward: 0.95, Std Reward: -55.00
Episode: 37, step: 9, Pop: 5/5, Epsilon: 0.87, Mean Loss: 51.44, Median Loss: 51.44, Std Loss: 51.44, Mean Reward: 0.19, Median Reward: 0.95, Std Reward: 9.50
Episode: 38, step: 9, Pop: 5/5, Epsilon: 0.87, Mean Loss: 66.48, Median Loss: 66.48, Std Loss: 66.48, Mean Reward: -1.01, Median Reward: 0.95, Std Reward: -50.50
Episode: 39, step: 9, Pop: 4/5, Epsilon: 0.86, Mean Loss: 72.65, Median Loss: 72.65, Std Loss: 72.65, Mean Reward: -0.32, Median Reward: 0.45, Std Reward: -16.00
Episode: 40, step: 9, Pop: 8/5, Epsilon: 0.86, Mean Loss: 52.46, Median Loss: 52.46, Std Loss: 52.46, Mean Reward: -1.30, Median Reward: 0.95, Std Reward: -65.00
Episode: 41, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 45.23, Median Loss: 45.23, Std Loss: 45.23, Mean Reward: -0.02, Median Reward: 0.95, Std Reward: -1.00
Episode: 42, step: 9, Pop: 5/5, Epsilon: 0.85, Mean Loss: 75.56, Median Loss: 75.56, Std Loss: 75.56, Mean Reward: -0.07, Median Reward: 0.95, Std Reward: -3.50
Episode: 43, step: 9, Pop: 4/5, Epsilon: 0.85, Mean Loss: 54.40, Median Loss: 54.40, Std Loss: 54.40, Mean Reward: -0.61, Median Reward: 0.70, Std Reward: -30.70
Episode: 44, step: 9, Pop: 7/5, Epsilon: 0.85, Mean Loss: 37.99, Median Loss: 37.99, Std Loss: 37.99, Mean Reward: -0.14, Median Reward: 0.95, Std Reward: -7.00
Episode: 45, step: 9, Pop: 6/5, Epsilon: 0.84, Mean Loss: 59.95, Median Loss: 59.95, Std Loss: 59.95, Mean Reward: -0.85, Median Reward: 0.95, Std Reward: -42.50
Episode: 46, step: 9, Pop: 5/5, Epsilon: 0.84, Mean Loss: 48.32, Median Loss: 48.32, Std Loss: 48.32, Mean Reward: -0.34, Median Reward: 0.95, Std Reward: -17.00
Episode: 47, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 58.89, Median Loss: 58.89, Std Loss: 58.89, Mean Reward: -0.52, Median Reward: 0.95, Std Reward: -26.00
Episode: 48, step: 9, Pop: 6/5, Epsilon: 0.83, Mean Loss: 46.30, Median Loss: 46.30, Std Loss: 46.30, Mean Reward: 0.09, Median Reward: 0.95, Std Reward: 4.50
Episode: 49, step: 9, Pop: 6/5, Epsilon: 0.83, Mean Loss: 53.79, Median Loss: 53.79, Std Loss: 53.79, Mean Reward: -0.04, Median Reward: 0.45, Std Reward: -2.20
Episode: 50, step: 9, Pop: 8/5, Epsilon: 0.83, Mean Loss: 49.18, Median Loss: 49.18, Std Loss: 49.18, Mean Reward: -0.55, Median Reward: 0.95, Std Reward: -27.50
Episode: 51, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 54.13, Median Loss: 54.13, Std Loss: 54.13, Mean Reward: -1.09, Median Reward: 0.45, Std Reward: -54.70
Episode: 52, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 57.14, Median Loss: 57.14, Std Loss: 57.14, Mean Reward: -0.43, Median Reward: 0.95, Std Reward: -21.50
Episode: 53, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 52.19, Median Loss: 52.19, Std Loss: 52.19, Mean Reward: -0.30, Median Reward: 0.95, Std Reward: -15.00
Episode: 54, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 39.43, Median Loss: 39.43, Std Loss: 39.43, Mean Reward: -1.27, Median Reward: 0.95, Std Reward: -63.50
Episode: 55, step: 9, Pop: 9/5, Epsilon: 0.81, Mean Loss: 63.83, Median Loss: 63.83, Std Loss: 63.83, Mean Reward: -0.13, Median Reward: 0.95, Std Reward: -6.50
Episode: 56, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 43.66, Median Loss: 43.66, Std Loss: 43.66, Mean Reward: -0.74, Median Reward: 0.45, Std Reward: -36.80
Episode: 57, step: 9, Pop: 6/5, Epsilon: 0.81, Mean Loss: 49.41, Median Loss: 49.41, Std Loss: 49.41, Mean Reward: 0.49, Median Reward: 0.95, Std Reward: 24.60
Episode: 58, step: 9, Pop: 9/5, Epsilon: 0.80, Mean Loss: 37.82, Median Loss: 37.82, Std Loss: 37.82, Mean Reward: -1.53, Median Reward: 0.95, Std Reward: -76.50
Episode: 59, step: 9, Pop: 6/5, Epsilon: 0.80, Mean Loss: 58.97, Median Loss: 58.97, Std Loss: 58.97, Mean Reward: -0.84, Median Reward: 0.95, Std Reward: -42.00
Episode: 60, step: 9, Pop: 6/5, Epsilon: 0.80, Mean Loss: 46.38, Median Loss: 46.38, Std Loss: 46.38, Mean Reward: -0.47, Median Reward: 0.95, Std Reward: -23.60
Episode: 61, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 71.05, Median Loss: 71.05, Std Loss: 71.05, Mean Reward: -2.35, Median Reward: 0.45, Std Reward: -117.50
Episode: 62, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 53.39, Median Loss: 53.39, Std Loss: 53.39, Mean Reward: -3.96, Median Reward: -8.05, Std Reward: -198.00
Episode: 63, step: 9, Pop: 8/5, Epsilon: 0.79, Mean Loss: 34.26, Median Loss: 34.26, Std Loss: 34.26, Mean Reward: -0.28, Median Reward: 0.95, Std Reward: -14.00
Episode: 64, step: 9, Pop: 10/5, Epsilon: 0.78, Mean Loss: 41.48, Median Loss: 41.48, Std Loss: 41.48, Mean Reward: -1.45, Median Reward: 0.95, Std Reward: -72.50
Episode: 65, step: 9, Pop: 5/5, Epsilon: 0.78, Mean Loss: 72.45, Median Loss: 72.45, Std Loss: 72.45, Mean Reward: 0.72, Median Reward: 0.95, Std Reward: 36.00
Episode: 66, step: 9, Pop: 6/5, Epsilon: 0.78, Mean Loss: 23.18, Median Loss: 23.18, Std Loss: 23.18, Mean Reward: 0.07, Median Reward: 0.95, Std Reward: 3.50
Episode: 67, step: 9, Pop: 9/5, Epsilon: 0.78, Mean Loss: 53.91, Median Loss: 53.91, Std Loss: 53.91, Mean Reward: -1.15, Median Reward: 0.95, Std Reward: -57.40
Episode: 68, step: 9, Pop: 7/5, Epsilon: 0.77, Mean Loss: 47.39, Median Loss: 47.39, Std Loss: 47.39, Mean Reward: -0.69, Median Reward: 0.95, Std Reward: -34.50
Episode: 69, step: 9, Pop: 9/5, Epsilon: 0.77, Mean Loss: 55.15, Median Loss: 55.15, Std Loss: 55.15, Mean Reward: -1.34, Median Reward: 0.95, Std Reward: -67.00
Episode: 70, step: 9, Pop: 5/5, Epsilon: 0.77, Mean Loss: 35.82, Median Loss: 35.82, Std Loss: 35.82, Mean Reward: -0.37, Median Reward: 0.45, Std Reward: -18.40
Episode: 71, step: 9, Pop: 9/5, Epsilon: 0.76, Mean Loss: 27.06, Median Loss: 27.06, Std Loss: 27.06, Mean Reward: -1.60, Median Reward: 0.95, Std Reward: -80.00
Episode: 72, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 54.86, Median Loss: 54.86, Std Loss: 54.86, Mean Reward: -1.77, Median Reward: 0.70, Std Reward: -88.50
Episode: 73, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 40.17, Median Loss: 40.17, Std Loss: 40.17, Mean Reward: -0.67, Median Reward: 0.95, Std Reward: -33.60
Episode: 74, step: 9, Pop: 10/5, Epsilon: 0.76, Mean Loss: 54.24, Median Loss: 54.24, Std Loss: 54.24, Mean Reward: -1.71, Median Reward: 0.45, Std Reward: -85.60
Episode: 75, step: 9, Pop: 6/5, Epsilon: 0.75, Mean Loss: 24.16, Median Loss: 24.16, Std Loss: 24.16, Mean Reward: -0.24, Median Reward: 0.95, Std Reward: -12.10
Episode: 76, step: 9, Pop: 6/5, Epsilon: 0.75, Mean Loss: 47.39, Median Loss: 47.39, Std Loss: 47.39, Mean Reward: 0.50, Median Reward: 0.95, Std Reward: 25.00
Episode: 77, step: 9, Pop: 7/5, Epsilon: 0.75, Mean Loss: 33.66, Median Loss: 33.66, Std Loss: 33.66, Mean Reward: -1.31, Median Reward: 0.45, Std Reward: -65.70
