Episode: 32, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 65.00, Median Loss: 65.00, Std Loss: 65.00, Mean Reward: -1.52, Median Reward: 0.00, Std Reward: -117.40
Episode: 33, step: 9, Pop: 5/5, Epsilon: 0.88, Mean Loss: 66.33, Median Loss: 66.33, Std Loss: 66.33, Mean Reward: -0.35, Median Reward: 0.00, Std Reward: -25.10
Episode: 34, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 41.99, Median Loss: 41.99, Std Loss: 41.99, Mean Reward: -0.31, Median Reward: 0.00, Std Reward: -29.80
Episode: 35, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 56.23, Median Loss: 56.23, Std Loss: 56.23, Mean Reward: -0.69, Median Reward: 0.00, Std Reward: -54.20
Episode: 36, step: 9, Pop: 9/5, Epsilon: 0.87, Mean Loss: 62.25, Median Loss: 62.25, Std Loss: 62.25, Mean Reward: 0.06, Median Reward: 0.00, Std Reward: 6.20
Episode: 37, step: 9, Pop: 9/5, Epsilon: 0.87, Mean Loss: 74.10, Median Loss: 74.10, Std Loss: 74.10, Mean Reward: 0.24, Median Reward: 2.00, Std Reward: 21.40
Episode: 38, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 48.55, Median Loss: 48.55, Std Loss: 48.55, Mean Reward: 0.36, Median Reward: 0.00, Std Reward: 27.90
Episode: 39, step: 9, Pop: 8/5, Epsilon: 0.86, Mean Loss: 46.25, Median Loss: 46.25, Std Loss: 46.25, Mean Reward: 0.70, Median Reward: 2.00, Std Reward: 64.80
Episode: 40, step: 9, Pop: 5/5, Epsilon: 0.86, Mean Loss: 64.45, Median Loss: 64.45, Std Loss: 64.45, Mean Reward: -1.69, Median Reward: 0.00, Std Reward: -126.40
Episode: 41, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 46.55, Median Loss: 46.55, Std Loss: 46.55, Mean Reward: -0.47, Median Reward: 2.00, Std Reward: -39.80
Episode: 42, step: 9, Pop: 7/5, Epsilon: 0.85, Mean Loss: 51.80, Median Loss: 51.80, Std Loss: 51.80, Mean Reward: 0.22, Median Reward: 0.00, Std Reward: 19.90
Episode: 43, step: 9, Pop: 7/5, Epsilon: 0.85, Mean Loss: 48.85, Median Loss: 48.85, Std Loss: 48.85, Mean Reward: -2.96, Median Reward: 0.00, Std Reward: -225.10
Episode: 44, step: 9, Pop: 7/5, Epsilon: 0.85, Mean Loss: 66.50, Median Loss: 66.50, Std Loss: 66.50, Mean Reward: -0.16, Median Reward: 2.00, Std Reward: -13.90
