Episode: 32, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 37.24, Median Loss: 37.24, Std Loss: 37.24, Mean Reward: -1.02, Median Reward: 0.45, Std Reward: -51.00
Episode: 33, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 45.92, Median Loss: 45.92, Std Loss: 45.92, Mean Reward: -0.65, Median Reward: 0.95, Std Reward: -32.40
Episode: 34, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 43.52, Median Loss: 43.52, Std Loss: 43.52, Mean Reward: -0.85, Median Reward: 0.95, Std Reward: -42.30
Episode: 35, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 38.12, Median Loss: 38.12, Std Loss: 38.12, Mean Reward: -0.17, Median Reward: 0.95, Std Reward: -8.50
Episode: 36, step: 9, Pop: 10/5, Epsilon: 0.87, Mean Loss: 48.32, Median Loss: 48.32, Std Loss: 48.32, Mean Reward: -2.31, Median Reward: 0.70, Std Reward: -115.50
Episode: 37, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 36.87, Median Loss: 36.87, Std Loss: 36.87, Mean Reward: -0.77, Median Reward: 0.95, Std Reward: -38.40
Episode: 38, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 31.65, Median Loss: 31.65, Std Loss: 31.65, Mean Reward: -0.37, Median Reward: 0.95, Std Reward: -18.50
Episode: 39, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 72.97, Median Loss: 72.97, Std Loss: 72.97, Mean Reward: -0.87, Median Reward: 0.45, Std Reward: -43.50
Episode: 40, step: 9, Pop: 8/5, Epsilon: 0.86, Mean Loss: 35.85, Median Loss: 35.85, Std Loss: 35.85, Mean Reward: -1.13, Median Reward: 0.95, Std Reward: -56.50
Episode: 41, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 22.42, Median Loss: 22.42, Std Loss: 22.42, Mean Reward: 0.55, Median Reward: 0.95, Std Reward: 27.30
Episode: 42, step: 9, Pop: 5/5, Epsilon: 0.85, Mean Loss: 48.39, Median Loss: 48.39, Std Loss: 48.39, Mean Reward: 0.74, Median Reward: 0.95, Std Reward: 37.00
Episode: 43, step: 9, Pop: 9/5, Epsilon: 0.85, Mean Loss: 33.30, Median Loss: 33.30, Std Loss: 33.30, Mean Reward: -2.01, Median Reward: 0.95, Std Reward: -100.50
Episode: 44, step: 9, Pop: 8/5, Epsilon: 0.85, Mean Loss: 33.38, Median Loss: 33.38, Std Loss: 33.38, Mean Reward: -2.77, Median Reward: 0.45, Std Reward: -138.60
Episode: 45, step: 9, Pop: 6/5, Epsilon: 0.84, Mean Loss: 29.99, Median Loss: 29.99, Std Loss: 29.99, Mean Reward: 0.49, Median Reward: 0.95, Std Reward: 24.50
Episode: 46, step: 9, Pop: 7/5, Epsilon: 0.84, Mean Loss: 40.96, Median Loss: 40.96, Std Loss: 40.96, Mean Reward: -0.92, Median Reward: 0.45, Std Reward: -46.10
Episode: 47, step: 9, Pop: 7/5, Epsilon: 0.84, Mean Loss: 42.21, Median Loss: 42.21, Std Loss: 42.21, Mean Reward: -0.64, Median Reward: 0.45, Std Reward: -32.10
Episode: 48, step: 9, Pop: 9/5, Epsilon: 0.83, Mean Loss: 41.56, Median Loss: 41.56, Std Loss: 41.56, Mean Reward: -2.07, Median Reward: 0.45, Std Reward: -103.50
Episode: 49, step: 9, Pop: 7/5, Epsilon: 0.83, Mean Loss: 41.55, Median Loss: 41.55, Std Loss: 41.55, Mean Reward: -0.64, Median Reward: 0.95, Std Reward: -32.00
Episode: 50, step: 9, Pop: 6/5, Epsilon: 0.83, Mean Loss: 34.52, Median Loss: 34.52, Std Loss: 34.52, Mean Reward: -1.10, Median Reward: 0.95, Std Reward: -55.00
Episode: 51, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 30.66, Median Loss: 30.66, Std Loss: 30.66, Mean Reward: 0.01, Median Reward: 0.45, Std Reward: 0.50
Episode: 52, step: 9, Pop: 5/5, Epsilon: 0.82, Mean Loss: 41.71, Median Loss: 41.71, Std Loss: 41.71, Mean Reward: -1.56, Median Reward: 0.70, Std Reward: -78.00
Episode: 53, step: 9, Pop: 7/5, Epsilon: 0.82, Mean Loss: 31.93, Median Loss: 31.93, Std Loss: 31.93, Mean Reward: -0.15, Median Reward: 0.95, Std Reward: -7.50
Episode: 54, step: 9, Pop: 6/5, Epsilon: 0.81, Mean Loss: 37.66, Median Loss: 37.66, Std Loss: 37.66, Mean Reward: -0.26, Median Reward: 0.95, Std Reward: -12.90
