Episode: 32, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 53.02, Median Loss: 53.02, Std Loss: 53.02, Mean Reward: 0.41, Median Reward: 2.00, Std Reward: 33.60
Episode: 33, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 41.28, Median Loss: 41.28, Std Loss: 41.28, Mean Reward: -0.04, Median Reward: 2.00, Std Reward: -3.30
Episode: 34, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 56.54, Median Loss: 56.54, Std Loss: 56.54, Mean Reward: -0.39, Median Reward: 2.00, Std Reward: -32.90
Episode: 35, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 52.60, Median Loss: 52.60, Std Loss: 52.60, Mean Reward: -0.82, Median Reward: 0.00, Std Reward: -69.00
Episode: 36, step: 9, Pop: 10/5, Epsilon: 0.87, Mean Loss: 40.03, Median Loss: 40.03, Std Loss: 40.03, Mean Reward: -0.83, Median Reward: 1.00, Std Reward: -83.00
Episode: 37, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 43.27, Median Loss: 43.27, Std Loss: 43.27, Mean Reward: -1.54, Median Reward: 0.00, Std Reward: -122.00
Episode: 38, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 52.60, Median Loss: 52.60, Std Loss: 52.60, Mean Reward: -0.66, Median Reward: 0.00, Std Reward: -57.70
Episode: 39, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 48.87, Median Loss: 48.87, Std Loss: 48.87, Mean Reward: -0.47, Median Reward: 0.00, Std Reward: -36.10
Episode: 40, step: 9, Pop: 8/5, Epsilon: 0.86, Mean Loss: 70.82, Median Loss: 70.82, Std Loss: 70.82, Mean Reward: 1.09, Median Reward: 2.00, Std Reward: 100.60
Episode: 41, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 51.24, Median Loss: 51.24, Std Loss: 51.24, Mean Reward: 0.08, Median Reward: 2.00, Std Reward: 7.00
Episode: 42, step: 9, Pop: 5/5, Epsilon: 0.85, Mean Loss: 65.89, Median Loss: 65.89, Std Loss: 65.89, Mean Reward: -1.29, Median Reward: 0.00, Std Reward: -82.80
Episode: 43, step: 9, Pop: 9/5, Epsilon: 0.85, Mean Loss: 46.74, Median Loss: 46.74, Std Loss: 46.74, Mean Reward: -0.37, Median Reward: 2.00, Std Reward: -36.30
Episode: 44, step: 9, Pop: 8/5, Epsilon: 0.85, Mean Loss: 31.78, Median Loss: 31.78, Std Loss: 31.78, Mean Reward: 0.15, Median Reward: 0.00, Std Reward: 14.80
Episode: 45, step: 9, Pop: 6/5, Epsilon: 0.84, Mean Loss: 34.64, Median Loss: 34.64, Std Loss: 34.64, Mean Reward: -0.96, Median Reward: 0.00, Std Reward: -77.10
Episode: 46, step: 9, Pop: 7/5, Epsilon: 0.84, Mean Loss: 73.62, Median Loss: 73.62, Std Loss: 73.62, Mean Reward: -1.86, Median Reward: 0.00, Std Reward: -156.30
Episode: 47, step: 9, Pop: 7/5, Epsilon: 0.84, Mean Loss: 45.30, Median Loss: 45.30, Std Loss: 45.30, Mean Reward: -1.76, Median Reward: 0.00, Std Reward: -146.40
Episode: 48, step: 9, Pop: 9/5, Epsilon: 0.83, Mean Loss: 53.64, Median Loss: 53.64, Std Loss: 53.64, Mean Reward: 1.56, Median Reward: 2.00, Std Reward: 154.10
Episode: 49, step: 9, Pop: 7/5, Epsilon: 0.83, Mean Loss: 48.92, Median Loss: 48.92, Std Loss: 48.92, Mean Reward: 0.66, Median Reward: 0.00, Std Reward: 55.10
Episode: 50, step: 9, Pop: 6/5, Epsilon: 0.83, Mean Loss: 45.24, Median Loss: 45.24, Std Loss: 45.24, Mean Reward: 0.67, Median Reward: 1.00, Std Reward: 60.50
Episode: 51, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 47.67, Median Loss: 47.67, Std Loss: 47.67, Mean Reward: 2.65, Median Reward: 4.00, Std Reward: 217.00
Episode: 52, step: 9, Pop: 5/5, Epsilon: 0.82, Mean Loss: 35.94, Median Loss: 35.94, Std Loss: 35.94, Mean Reward: -1.69, Median Reward: 0.00, Std Reward: -119.80
Episode: 53, step: 9, Pop: 7/5, Epsilon: 0.82, Mean Loss: 86.26, Median Loss: 86.26, Std Loss: 86.26, Mean Reward: -0.83, Median Reward: 0.00, Std Reward: -66.50
Episode: 54, step: 9, Pop: 6/5, Epsilon: 0.81, Mean Loss: 52.79, Median Loss: 52.79, Std Loss: 52.79, Mean Reward: -0.69, Median Reward: 0.00, Std Reward: -58.30
